scenario,seed,status,error,avg_waiting_time,avg_travel_time,avg_queue_length,p95_queue_length,completed_trips,throughput,gridlock_duration,gridlock_events,inference_latency_ms,cpu_percent,peak_memory_mb,total_departed,episode_time
road_closure,10411,completed,,22.641104294478527,126.46779141104294,0.0640711784362793,1.0,652,1304.0,0.0,0,0.3738,131.9,388.2,652,1800.0
road_closure,10412,completed,,25.81232492997199,132.56162464985994,0.07999131828546524,1.0,714,1428.0,0.0,0,0.4844,132.9,387.5,714,1800.0
road_closure,10413,completed,,21.973214285714285,127.81547619047619,0.06408853828907013,1.0,672,1344.0,0.0,0,0.3815,136.7,388.5,672,1800.0
road_closure,10414,completed,,28.611940298507463,134.75970149253732,0.08320312201976776,1.0,670,1340.0,0.0,0,0.3612,160.4,387.7,670,1800.0
road_closure,10415,completed,,22.941860465116278,128.6671511627907,0.06850694119930267,1.0,688,1376.0,0.0,0,0.3341,136.5,388.7,688,1800.0
road_closure,10416,completed,,26.328290468986385,131.22995461422087,0.07553385198116302,1.0,661,1322.0,0.0,0,0.4502,124.3,383.7,661,1800.0
road_closure,10417,completed,,23.43168604651163,128.67732558139534,0.06996961683034897,1.0,688,1376.0,0.0,0,0.4269,131.9,383.7,688,1800.0
road_closure,10418,completed,,24.334834834834833,128.5900900900901,0.07034288346767426,1.0,666,1332.0,0.0,0,0.3083,136.3,387.9,666,1800.0
road_closure,10419,completed,,24.058073654390935,128.61985815602836,0.07371962070465088,1.0,705,1410.0,0.0,0,0.2532,136.4,386.7,706,1800.0
sudden_surge,10200,completed,,43.80675818373812,154.22386483632525,0.18005642294883728,1.0,947,1894.0,0.0,0,0.3905,133.2,402.7,947,1800.0
sudden_surge,10201,completed,,33.5514705882353,143.50525210084032,0.13863281905651093,1.0,952,1904.0,0.0,0,0.3781,130.9,386.9,952,1800.0
sudden_surge,10202,completed,,29.67058823529412,139.03850267379678,0.12040798366069794,1.0,935,1870.0,0.0,0,0.418,134.3,402.9,935,1800.0
sudden_surge,10203,completed,,32.969293756397136,143.02047082906859,0.1398046910762787,1.0,977,1954.0,0.0,0,0.447,131.1,387.0,977,1800.0
sudden_surge,10204,completed,,33.717021276595744,143.1776595744681,0.13756076991558075,1.0,940,1880.0,0.0,0,0.3767,131.8,403.4,940,1800.0
sudden_surge,10205,completed,,29.69396551724138,139.875,0.11960069090127945,1.0,928,1856.0,0.0,0,0.4116,132.6,387.4,928,1800.0
sudden_surge,10206,completed,,32.99777777777778,142.53666666666666,0.128897562623024,1.0,900,1800.0,0.0,0,0.3296,133.0,403.5,900,1800.0
sudden_surge,10207,completed,,35.047047047047045,144.81581581581582,0.1519618034362793,1.0,999,1998.0,0.0,0,0.3195,131.8,387.7,999,1800.0
sudden_surge,10208,completed,,36.58607350096712,147.30754352030948,0.16419270634651184,1.0,1034,2068.0,0.0,0,0.3386,137.4,384.7,1034,1800.0
sudden_surge,10209,completed,,31.18029350104822,142.02201257861634,0.12910589575767517,1.0,954,1908.0,0.0,0,0.3625,121.6,384.4,954,1800.0
sudden_surge,10210,completed,,31.70334412081985,140.0809061488673,0.1275564283132553,1.0,927,1854.0,0.0,0,0.3722,130.8,388.6,927,1800.0
sudden_surge,10211,completed,,28.3470066518847,137.55543237250555,0.11097656190395355,1.0,902,1804.0,0.0,0,0.3652,131.4,388.3,902,1800.0
sudden_surge,10212,completed,,35.17997870074547,148.3695420660277,0.14337673783302307,1.0,939,1878.0,0.0,0,0.3313,132.3,386.3,939,1800.0
sudden_surge,10213,completed,,30.653508771929825,140.68530701754386,0.12133680284023285,1.0,912,1824.0,0.0,0,0.31,133.7,386.2,912,1800.0
sudden_surge,10214,completed,,31.602956705385427,142.2882787750792,0.12989583611488342,1.0,947,1894.0,0.0,0,0.4558,130.0,386.3,947,1800.0
sudden_surge,10215,completed,,31.97571277719113,141.12671594508976,0.13142795860767365,1.0,947,1894.0,0.0,0,0.4612,128.1,386.2,947,1800.0
sudden_surge,10216,completed,,29.325506937033083,137.69370330843117,0.11926215142011642,1.0,937,1874.0,0.0,0,0.33,133.2,386.4,937,1800.0
sudden_surge,10217,completed,,33.20893970893971,143.6008316008316,0.13865885138511658,1.0,962,1924.0,0.0,0,0.2815,132.8,386.9,962,1800.0
sudden_surge,10218,completed,,31.377682403433475,140.66738197424894,0.12692707777023315,1.0,932,1864.0,0.0,0,0.2894,152.5,386.4,932,1800.0
sudden_surge,10219,completed,,28.603575184016826,137.06203995793902,0.11806423962116241,1.0,951,1902.0,0.0,0,0.3064,133.5,387.1,951,1800.0
uneven_directional,10300,completed,,19.182890855457227,123.54424778761062,0.05644965171813965,1.0,678,1356.0,0.0,0,0.3192,131.9,386.9,678,1800.0
uneven_directional,10301,completed,,21.212078651685392,127.33707865168539,0.06555121392011642,1.0,712,1424.0,0.0,0,0.3309,130.6,387.5,712,1800.0
uneven_directional,10302,completed,,20.59670164917541,127.33133433283358,0.059626735746860504,1.0,667,1334.0,0.0,0,0.5855,127.2,387.0,667,1800.0
uneven_directional,10303,completed,,18.75465838509317,123.47981366459628,0.052421875298023224,0.0,644,1288.0,0.0,0,0.5133,130.3,387.6,644,1800.0
uneven_directional,10304,completed,,19.06528189910979,124.15875370919882,0.0557725690305233,1.0,674,1348.0,0.0,0,0.3321,125.1,383.5,674,1800.0
uneven_directional,10305,completed,,19.352592592592593,122.46666666666667,0.056697048246860504,1.0,675,1350.0,0.0,0,0.3703,128.2,383.6,675,1800.0
uneven_directional,10306,completed,,19.08407079646018,123.94837758112094,0.05615885555744171,1.0,678,1356.0,0.0,0,0.3526,136.5,387.8,678,1800.0
uneven_directional,10307,completed,,18.844274809160304,124.20458015267175,0.053572047501802444,1.0,655,1310.0,0.0,0,0.301,139.8,386.8,655,1800.0
uneven_directional,10308,completed,,20.07539118065434,124.92460881934566,0.061254341155290604,1.0,703,1406.0,0.0,0,0.6178,129.3,387.8,703,1800.0
uneven_directional,10309,completed,,18.830434782608695,122.14927536231885,0.056393228471279144,1.0,690,1380.0,0.0,0,0.791,126.8,386.8,690,1800.0
uneven_directional,10310,completed,,17.58569299552906,121.37555886736214,0.0512152761220932,0.0,671,1342.0,0.0,0,0.2767,137.4,387.9,671,1800.0
uneven_directional,10311,completed,,19.154446177847113,125.53978159126365,0.053289931267499924,0.0,641,1282.0,0.0,0,0.3155,137.6,386.9,641,1800.0
uneven_directional,10312,completed,,19.9194729136164,124.98535871156662,0.05904947966337204,1.0,683,1366.0,0.0,0,0.378,134.9,387.9,683,1800.0
uneven_directional,10313,completed,,19.021897810218977,123.81167883211678,0.05655381828546524,1.0,685,1370.0,0.0,0,0.3735,134.4,387.4,685,1800.0
uneven_directional,10314,completed,,19.199400299850076,125.0045112781955,0.05558159574866295,1.0,665,1330.0,0.0,0,0.4404,149.3,388.1,667,1800.0
uneven_directional,10315,completed,,20.017492711370263,125.22157434402332,0.059600695967674255,1.0,686,1372.0,0.0,0,0.3868,134.1,387.5,686,1800.0
uneven_directional,10316,completed,,20.51801801801802,124.08708708708708,0.05930989608168602,1.0,666,1332.0,0.0,0,0.4564,132.4,388.4,666,1800.0
uneven_directional,10317,completed,,17.95482866043614,122.41588785046729,0.05003038048744202,0.0,642,1284.0,0.0,0,0.3747,137.6,387.9,642,1800.0
uneven_directional,10318,completed,,17.85037037037037,121.09333333333333,0.05229600518941879,0.0,675,1350.0,0.0,0,0.3762,136.2,388.6,675,1800.0
uneven_directional,10319,completed,,18.946666666666665,123.36888888888889,0.05550781264901161,1.0,675,1350.0,0.0,0,0.3172,138.6,388.0,675,1800.0
